Ven. Fort.
Apoll. Rhod.
Bell. Hisp.
Herakl. Pont.
Val. Fl.
Val. Max.
Greg. Naz.
Eukl. elem.
Ulp. (reg.)
Cass. Dio
Plin. nat.
Bell. Alex.
Diog. Laert.
Macr. Sat.
Bell. Afr.
Pass. mart.
Dion. Hal.
Iul. Vict. Rhet.
Frontin. aqu. strat.
Herc. O.
Aur. Vict.
Anth. Pal.
S. Emp.
Synes. epist.
M. Aur.
Mar. Victorin.
Demosth. or.
Mart. Cap.
Cassiod. inst.
Greg. Nyss.
Alex. Aphr.
Anth. Gr.
Cels. artes
Inst. Iust.
Rut. Nam.
Isokr. or.
Nonn. Dion.
Min. Fel.
Dion Chrys.
Cels. Dig.
Ter. Maur.
Greg. M.
R. Gest. div. Aug.
Herm. Trism.
Anth. Lat.
Cod. Iust.
Ach. Tat.
Greg. Tur.
Flor. epit.
Etym. m.
Rhet. Her.
Sulp. Sev.
Sulpic. Sev.
Corp. Inscr. Lat.
Cod. Theos.
