Demosth. or.
Min. Fel.
Alex. Aphr.
Diog. Laert.
Rut. Nam.
M. Aur.
Synes. epist.
Herm. Trism.
Val. Max.
Herc. O.
Dion Chrys.
Ven. Fort.
Flor. epit.
R. Gest. div. Aug.
Nonn. Dion.
Eukl. elem.
Macr. Sat.
Herakl. Pont.
Greg. Naz.
Pass. mart.
Ter. Maur.
Iul. Vict. Rhet.
Cass. Dio
Ach. Tat.
Anth. Lat.
Isokr. or.
Greg. Nyss.
Cassiod. inst.
S. Emp.
Greg. Tur.
Frontin. aqu. strat.
Etym. m.
Apoll. Rhod.
Mart. Cap.
Bell. Hisp.
Aur. Vict.
Cod. Iust.
Greg. M.
Cels. Dig.
Cels. artes
Ulp. (reg.)
Inst. Iust.
Bell. Afr.
Dion. Hal.
Bell. Alex.
Plin. nat.
Rhet. Her.
Anth. Gr.
Val. Fl.
Mar. Victorin.
Anth. Pal.
