Amm.		['25,', '3,', '15:']
Apul.	Flor.	['16.']
Apul.	Hildebr. Apul. met.	['7,', '1.']
Apul.	apol.	['16.']
Apul.	herb.	['27.']
Arnob.		['5,', '12.']
Cato	r.r.	['10,', '4.']
Cic.		['1,', '15,', '4']
Cic.		['2,', '15,', '11']
Cic.		['3,', '18,', '2.']
Cic.	Arch.	['12.']
Cic.	Cael.	['20']
Cic.	Clu.	['41:']
Cic.	Cornel.	['1,', '55']
Cic.	Cornel.	['1,', '55.']
Cic.	Cornel.	['2,', '102']
Cic.	Cornel.	['2,', '185:']
Cic.	Cornel.	['2,', '58.']
Cic.	Cornel.	['2,', '85:']
Cic.	Flacc.	['5,', '75.']
Cic.	II. Verr.	['2,', '181']
Cic.	II. Verr.	['3,', '138.']
Cic.	II. Verr.	['3,', '210:']
Cic.	II. Verr.	['5,', '140:']
Cic.	Manil.	['15.']
Cic.	Mur.	['55']
Cic.	Pis.	['88.']
Cic.	Poët. Tusc.	['1,', '32.']
Cic.	Poët. Tusc.	['1,', '74']
Cic.	Poët. Tusc.	['1,', '74.']
Cic.	Poët. Tusc.	['2,', '22.']
Cic.	Poët. Tusc.	['2,', '54.']
Cic.	Poët. Tusc.	['2,', '55']
Cic.	Poët. Tusc.	['2,', '7.']
Cic.	Poët. Tusc.	['3,', '27']
Cic.	ad Att.	['11,', '2,', '2.']
Cic.	ad Att.	['12,', '38,', '3']
Cic.	ad Att.	['4,', '16,', '6:']
Cic.	de div.	['1,', '31.']
Cic.	de div.	['2,', '13.']
Cic.	de nat. deor.	['1,', '100']
Cic.	de nat. deor.	['2,', '11.']
Cic.	de rep.	['1,', '35.']
Cic.	top.	['28.']
Curt.		['4,', '1']
Cypr.	ep.	['71,', '2.']
Enn.	ann.	['219.']
Enn.	tr.	['300']
Fest.		['23,', '7.']
Fest.		['27,', '11.']
Fest.		['4,', '18.']
Fest.		['p. 15,', '13']
Fest.		['p. 26,', '10.']
Gell.		['2,', '6,', '1.']
Hier.	in Ierem.	['1,', '5,', '15.']
Hor.	carm.	['1,', '1,', '16.']
Hyg.	astr.	['§ 43.']
Hyg.	fab.	['170.']
Hyg.	fab.	['257.']
Iul.	Val.	['3,', '26']
Iul.	Vict.	['3,', '3.']
Lact.		['1,', '11,', '47:']
Lact.		['3,', '10,', '14:']
Lact.		['5,', '19,', '3.']
Liv.		['1,', '27,', '4']
Liv.		['1,', '50,', '3']
Liv.		['2,', '14,', '3']
Liv.		['21,', '21,', '10']
Liv.		['21,', '36,', '7']
Liv.		['21,', '5,', '9.']
Liv.		['22,', '22,', '10']
Liv.		['22,', '40,', '9']
Liv.		['22,', '60,', '15.']
Liv.		['24,', '3,', '4']
Liv.		['24,', '30,', '1']
Liv.		['24,', '31,', '10.']
Liv.		['37,', '32,', '12']
Liv.		['45,', '29,', '6.']
Liv.		['9,', '6,', '11.']
Lucan.		['10,', '323']
Lucil.	sat.	['30,', '38.']
Lucr.		['3,', '953']
Lucr.		['6,', '809.']
Mart.	Cap.	['4.']
Mela		['2,', '6,', '7']
Ov.	Ib.	['465.']
Ov.	her.	['12,', '18.']
Ov.	her.	['9,', '96:']
Ov.	met.	['15,', '164.']
Ov.	met.	['4,', '607']
Ov.	met.	['4,', '673']
Pers.		['1,', '132.']
Phaedr.		['4,', '20,', '16:']
Plaut.	Astr. fr.	['119.']
Plaut.	Astr. fr.	['238:']
Plaut.	Astr. fr.	['264']
Plaut.	Astr. fr.	['830.']
Plaut.	Cas.	['59:']
Plaut.	Most.	['1065']
Plaut.	Most.	['479.']
Plaut.	Pers.	['248.']
Plaut.	Poen.	['65.']
Plaut.	aul.	['184.']
Plaut.	mil.	['154.']
Plaut.	mil.	['631.']
Plaut.	rud.	['503:']
Plaut.	truc.	['96.']
Plin.		['16,', '172.']
Plin.		['24,', '29.']
Plin.		['25,', '94.']
Plin.		['3,', '105.']
Plin.		['35,', '3']
Plin.		['36,', '199.']
Plin.		['4,', '42']
Plin.		['4,', '64']
Plin.		['6,', '89:']
Plin.	ep.	['3,', '19,', '7.']
Plin.	pan.	['20,', '4.']
Prisc.		['1']
Prisc.		['2,', '6']
Prisc.		['7,', '42']
Prisc.	Perieg.	['544.']
Prisc.	de metr. Ter.	['8.']
Prop.		['3']
Prop.		['4,', '1,', '9']
Quint.		['4,', '2,', '31']
Sall.	Jug.	['48,', '3']
Sen.	Tro.	['48.']
Sen.	de ben.	['7,', '26,', '4:']
Sen.	nat.	['4,', '2,', '7']
Serv.	Aen.	['11,', '667.']
Serv.	Aen.	['2,', '33']
Serv.	Aen.	['3,', '286']
Suet.	Claud.	['4,', '5.']
Suet.	Ner.	['22,', '1:']
Sulp. Sev.	chr.	['1,', '50,', '3:']
Tac.	ann.	['14,', '21']
Tac.	ann.	['2,', '69']
Tac.	ann.	['2,', '85.']
Tac.	dial.	['8,', '3.']
Ter.	Andr.	['1,', '1,', '8.']
Ter.	Andr.	['226']
Ter.	Phorm.	['1019:']
Ter.	heaut.	['13.']
Ter.	heaut.	['190.']
Ter.	heaut.	['214']
Ven. Fort.	carm.	['4,', '4,', '16.']
Verg.	Aen.	['10,', '736.']
Verg.	Aen.	['11,', '667.']
Verg.	Aen.	['2,', '553:']
Verg.	Aen.	['3,', '601.']
Verg.	Aen.	['7,', '740.']
Verg.	Aen.	['9,', '344.']
Verg.	Aen.	['9,', '700.']
Verg.	ge.	['2,', '68']
Vitr.		['3,', '5,', '5.']
Vitr.		['7,', '3,', '1.']
Vulg.		['3.']
Vulg.	excd.	['35,', '35.']
