Ambros.	in psalm.
Apul.	Flor.
Apul.	Hildebr. Apul. met.
Apul.	apol.
Auct.	Vict. epit.
Augustin.	Serm.
Augustin.	ep.
Augustin.	in psalm.
Ausgew.	Br. Cic.
Cael.	Aur. acut.
Cassiod.	var.
Cato	r.r.
Cic.	Arch.
Cic.	Cael.
Cic.	Clu.
Cic.	Cornel.
Cic.	Flacc.
Cic.	II. Verr.
Cic.	Manil.
Cic.	Mur.
Cic.	Pis.
Cic.	Poët. Tusc.
Cic.	ad Att.
Cic.	de div.
Cic.	de nat. deor.
Cic.	de rep.
Cic.	top.
Cod.	Theod.
Comm.	apol.
Corp.	Inscr. Lat.
Dar.	Phryg.
Deder.	Dict.
Edict.	Diocl.
Enn.	ann.
Enn.	tr.
Firm.	Mat.
Firm.	de err.
Fort.	carm.
Hyg.	fab.
Iul.	Vict.
Lucil.	sat.
Macr.	sat.
Mart.	Cap.
Mythogr.	Lat.
Ov.	Ib.
Ov.	her.
Ov.	met.
Paul.	Sent.
Paul.	ex Fest.
Pelag.	vet.
Placit.	de medic.
Plaut.	Astr. fr.
Plaut.	Cas.
Plaut.	Most.
Plaut.	Pers.
Plaut.	Poen.
Plaut.	aul.
Plaut.	mil.
Plin.	ep.
Porphyr.	Hor. carm.
Prisc.	Perieg.
Prisc.	de metr. Ter.
Ps. Apul.	de herb.
Ps. Tert.	adv. Marc. carm.
Rhein.	Mus.
Sall.	Jug.
Salv.	ad eccl.
Sen.	Tro.
Sen.	nat.
Serv.	Aen.
Suet.	Claud.
Suet.	Ner.
Sulp. Sev.	chr.
Tac.	ann.
Tac.	dial.
Ter.	Andr.
Ter.	Phorm.
Ter.	heaut.
Tert.	ad Hermog.
Ulp.	dig.
Val.	Flacc.
Varro	LL.
Varro	r.r.
Verg.	Aen.
Verg.	ge.
Verg.	gramm.
Vindic.	Tull.
