Eugraph.	ad Ter. heaut.	Eugraph.	Ter. heaut.
Cresc.	Donat.	Cresc.	Don.
Lindem.	Plaut. trin.	Lindem.	Plaut. capt.
Cael.	de signif. diaet. pass.	Cael.	de sign. diaet. pass.
Cael.	de signif. diaet.	Cael.	de sign. diaet. pass.
Cael.	Aur. acut. praef.	Cael.	Aur. acut.
Cael.	Aurel. acut.	Cael.	Aur. acut.
Cael.	āur. acut.	Cael.	Aur. acut.
Cael.	Aur. salut. praec.	Cael.	Aur. acut.
Cael.	Aur. sign. diaet. pass.	Cael.	Aur. acut.
Cael.	Aur. chron.	Cael.	Aur. chr.
Cael.	Aur. signif. diaet. pass.	Cael.	Aur. chr.
Cael.	Antip. bell. Pun. sec. hist.	Cael.	Antip.
Cael.	Antip. hist.	Cael.	Antip.
Cael.	de morb. chron. praef.	Cael.	Aurel. chron.
Cael.	de morb. acut. praef.	Cael.	de morb.
Cael.	de morb. chron.	Cael.	de morb.
Cael.	de morb. signif. diaet. pass.	Cael.	de morb.
Prolegg.	ad Verg.	Prolegg.	ad Tac. Agr.
Firm.	de err. prof. rel.	Firm.	de err.
Firm.	de err. relig.	Firm.	de err.
Firm.	math. praef.	Firm.	Mat.
Firm.	math.	Firm.	Mat.
Firm.	math. 	Firm.	Mat.
Sall.	hist. fr.	Sall.	fr.
Sall.	hist. fr. inc.	Sall.	fr.
Mythogr.	lat.	Mythogr.	Lat.
Tertull.	de test. anim.	Tertull.	de anim.
Cornif.	rhet. Vgl. Casaub. Suet. Tib.	Cornif.	rhet.
Nepot.	epit. Val. Max.	Nepot.	epit.
Vulg.	Philipp.	Vulg.	Phil.
Vulg.	ad Phil.	Vulg.	Phil.
Vulg.	cant. cant.	Vulg.	cant.
Vulg.	Marc.	Vulg.	Mach.
Vulg.	Mich.	Vulg.	Mach.
Vulg.	Zach.	Vulg.	Mach.
Vulg.	exod.	Vulg.	excd.
Vulg.	Sophon.	Vulg.	Soph.
Vulg.	psalm.	Vulg.	in psalm.
Vulg.	ad Galat.	Vulg.	Galat.
Vulg.	Iacob.	Vulg.	Iac.
Vulg.	epist. Iac.	Vulg.	Iac.
Vulg.	cant. cantic.	Vulg.	Iac.
Vulg.	euang. Ioann.	Vulg.	Ioann.
Vulg.	Ion.	Vulg.	Ioann.
Vulg.	sapient.	Vulg.	sap.
Vulg.	sapient. 	Vulg.	sap.
Vulg.	lev.	Vulg.	Lev.
Vulg.	Levit.	Vulg.	Lev.
Vulg.	levit.	Vulg.	Lev.
Vulg.	Sirach.	Vulg.	Sir.
Vulg.	numer.	Vulg.	num.
Vulg.	paralip.	Vulg.	paral.
Vulg.	ad Ephes.	Vulg.	Ephes.
Vulg.	ad Tit.	Vulg.	Tit.
Vulg.	ad Hebr.	Vulg.	Hebr.
Vulg.	Roman.	Vulg.	Rom.
Vulg.	Iesai.	Vulg.	Ies.
Vulg.	genes.	Vulg.	gen.
Vulg.	Ezech.	Vulg.	Ezcch.
